Posted Holiday Speed
70 Y 65.9
70 N 77.1
70 Y 65.1
70 Y 65.3
70 Y 63.9
70 Y 63.3
70 N 72
70 Y 58.5
70 Y 65.2
70 Y 66.1
70 Y 63.1
70 Y 63.7
70 Y 59.6
70 Y 65.6
70 Y 58.5
70 N 67.9
70 N 71.5
70 Y 65.1
70 Y 58.7
70 Y 64.4
80 Y 69.7
80 N 80.9
80 N 82
80 Y 78.3
80 Y 67.3
80 N 88.3
80 N 83.7
80 Y 70.9
80 Y 74.3
80 N 82.4
80 Y 71.9
80 Y 67.6
80 Y 71
80 Y 71.2
80 Y 73.2
80 Y 67.6
80 Y 78.5
80 N 85.7
80 Y 71
80 Y 68
80 N 81.3
80 Y 68
80 Y 69.2
80 N 87.5
80 N 83.3
80 Y 70.6
80 Y 68.1
80 Y 74.5
80 Y 73.6
80 Y 70.5
80 Y 67
80 Y 73.5
90 N 94.3
90 Y 76.4
90 Y 74.3
90 Y 80
90 Y 85
90 Y 77.6
90 N 93
90 Y 80.1
90 Y 82.1
90 Y 87.5
90 Y 82.7
90 Y 76.5
90 Y 81.4
90 N 95.5
90 Y 79.1
90 N 88.4
90 Y 79.2
90 Y 74.1
90 Y 85.4
90 N 94.3
90 N 93.6
100 Y 94.8
100 Y 93.3
100 Y 89.7
100 Y 86.3
100 Y 89.8
100 Y 91.9
100 Y 93.3
100 Y 86.3
100 N 100.6
100 Y 90.2
100 N 108.2
100 Y 90.7
100 Y 94.9
100 Y 85.3
100 Y 91.7
100 Y 87.4
100 N 101.5
100 Y 91.1
100 Y 89
100 N 101.5
100 Y 93.7
100 Y 91.7
100 Y 82.1
100 Y 91.3
100 Y 88.7
100 N 98.7
100 Y 95.2
100 Y 89.8
100 Y 87.8
100 N 107.9
100 N 105.5
100 Y 91.9
100 Y 89
100 Y 96.2
100 Y 87.1
100 Y 89.5
100 N 99.6
100 N 101.4
100 Y 93.9
100 Y 87.3
100 N 103.1
100 N 104.5
100 Y 89.7
100 N 106.7
100 Y 91.5
100 Y 85.2
100 N 106.3
100 Y 85.8
100 Y 85.4
100 Y 95.1
100 Y 89.7
100 Y 89.3
100 N 97.2
100 Y 91.9
100 N 97.6
100 Y 93
100 N 103.9
100 Y 90.1
100 Y 95
100 Y 92.1
100 N 98.7
100 N 104.4
100 N 103.2
100 Y 91.5
100 N 101.8
100 Y 90.1
100 Y 93
100 Y 87.8
100 Y 90
100 Y 92
100 N 101
100 Y 93.5
100 N 101.1
100 Y 90.8
100 Y 88.9
100 Y 85.9
100 N 105.3
100 Y 88.3
100 Y 89.6
100 N 100.8
100 N 102.7
100 Y 90.5
100 Y 81.1
100 Y 92.3
100 Y 89.4
100 Y 90.6
100 N 104.7
100 Y 94.2
100 Y 85.8
100 Y 85.2
100 Y 87.6
100 Y 84.1
100 Y 88.7
100 Y 84.5
100 N 99.8
100 Y 87.2
100 Y 86.6
100 Y 90.3
100 N 100.5
100 N 102.1
100 Y 84.7
100 Y 90.7
100 Y 87.1
100 Y 86.4
100 Y 89.2
100 Y 92.9
100 Y 93.5
100 Y 91.3
100 N 99.3
100 N 100.4
100 Y 91.4
100 Y 94
100 Y 91.8
